Time,Watts
,
0:00:00,27.9
0:00:01,27.9
0:00:02,28
0:00:03,28
0:00:04,28
0:00:05,28.1
0:00:06,28.1
0:00:07,28.1
0:00:08,33.8
0:00:09,34
0:00:10,34.3
0:00:11,34.5
0:00:12,34.6
0:00:13,34.8
0:00:14,35
0:00:15,35.1
0:00:16,35.2
0:00:17,35.2
0:00:18,35.2
0:00:19,35.2
0:00:20,35.3
0:00:21,35.3
0:00:22,35.3
0:00:23,35.3
0:00:24,35.3
0:00:25,34.9
0:00:26,29.6
0:00:27,29.6
0:00:28,29.6
0:00:29,29.6
0:00:30,29.6
0:00:31,29.6
0:00:32,29.6
0:00:33,29.6
0:00:34,29.6
0:00:35,29.6
0:00:36,29.7
0:00:37,29.6
0:00:38,29.6
0:00:39,29.7
0:00:40,29.7
0:00:41,29.7
0:00:42,29.7
0:00:43,29.6
0:00:44,29.6
0:00:45,29.6
0:00:46,29.6
0:00:47,29.6
0:00:48,29.7
0:00:49,29.7
0:00:50,29.7
0:00:51,29.7
0:00:52,29.6
0:00:53,29.7
0:00:54,29.7
0:00:55,29.6
0:00:56,29.7
0:00:57,29.7
0:00:58,29.6
0:00:59,29.7
0:01:00,29.8
0:01:01,29.8
0:01:02,29.8
0:01:03,29.9
0:01:04,29.9
0:01:05,29.9
0:01:06,29.9
0:01:07,30
0:01:08,29.9
0:01:09,30
0:01:10,30
0:01:11,30
0:01:12,30
0:01:13,29.9
0:01:14,30
0:01:15,30
0:01:16,30
0:01:17,29.9
0:01:18,29.7
0:01:19,29.6
0:01:20,29.4
0:01:21,29.3
0:01:22,29.2
0:01:23,29
0:01:24,28.9
0:01:25,28.8
0:01:26,28.7
0:01:27,28.6
0:01:28,28.5
0:01:29,28.4
0:01:30,28.4
0:01:31,28.3
0:01:32,28.3
0:01:33,28.2
0:01:34,28.2
0:01:35,28.1
,
